ndrones,algorithm,completion_time,drone_utilization_time
2,GREEDY,19235.836013043478,17631.05786956522
2,LOCALSEARCH-BFSOPT,18181.438676086957,17832.834473913044
2,LOCALSEARCH-HC,18237.844802173913,17858.308106521737
2,LOCALSEARCH-LB,18213.630960869566,17857.67650869565
4,GREEDY,10485.744610526315,8149.421963157895
4,LOCALSEARCH-BFSOPT,9078.51757631579,8575.173097368423
4,LOCALSEARCH-HC,9183.531884210526,8545.733415789473
4,LOCALSEARCH-LB,9063.180273684211,8539.548684210526
6,GREEDY,7853.032902564103,5302.625774358975
6,LOCALSEARCH-BFSOPT,6595.510133333333,5767.926994871795
6,LOCALSEARCH-HC,6637.142620512821,5702.783558974359
6,LOCALSEARCH-LB,6552.235289743589,5684.8427794871795
8,GREEDY,6576.151272413794,3919.6277586206897
8,LOCALSEARCH-BFSOPT,5477.770955172414,4273.908334482759
8,LOCALSEARCH-HC,5515.449355172414,4259.785006896552
8,LOCALSEARCH-LB,5431.373651724138,4250.794779310345
10,GREEDY,5831.877116129032,3012.901312903226
10,LOCALSEARCH-BFSOPT,4936.115519354839,3420.301222580645
10,LOCALSEARCH-HC,5043.6106967741935,3325.258009677419
10,LOCALSEARCH-LB,4892.752222580645,3343.5902903225806
12,GREEDY,5320.9872128205125,2451.6057846153844
12,LOCALSEARCH-BFSOPT,4701.716848717949,2789.7018692307693
12,LOCALSEARCH-HC,4703.051576923077,2690.7748333333334
12,LOCALSEARCH-LB,4693.332323076923,2696.3866435897435
14,GREEDY,5121.903902380953,2028.2165023809523
14,LOCALSEARCH-BFSOPT,4483.559623809524,2265.912169047619
14,LOCALSEARCH-HC,4493.195342857142,2218.451642857143
14,LOCALSEARCH-LB,4484.439071428571,2208.492921428571
16,GREEDY,5019.380270454545,1724.2397068181817
16,LOCALSEARCH-BFSOPT,4401.437972727273,1970.5975136363638
16,LOCALSEARCH-HC,4441.488925,1899.9452818181817
16,LOCALSEARCH-LB,4403.3973000000005,1901.8949954545453
18,GREEDY,4824.833831111111,1492.104908888889
18,LOCALSEARCH-BFSOPT,4412.045982222222,1681.563411111111
18,LOCALSEARCH-HC,4419.588771111112,1653.3904222222222
18,LOCALSEARCH-LB,4416.505295555556,1652.0884177777777
20,GREEDY,4714.012375555555,1323.6537022222221
20,LOCALSEARCH-BFSOPT,4357.225653333333,1493.250531111111
20,LOCALSEARCH-HC,4357.650044444445,1462.4742111111111
20,LOCALSEARCH-LB,4357.650044444445,1462.2802622222223
22,GREEDY,4706.704821276596,1193.2290468085107
22,LOCALSEARCH-BFSOPT,4341.453165957447,1326.8432659574466
22,LOCALSEARCH-HC,4341.85949787234,1306.4729914893617
22,LOCALSEARCH-LB,4341.85949787234,1306.4729914893617
24,GREEDY,4610.644631111111,1065.4405177777776
24,LOCALSEARCH-BFSOPT,4242.498968888889,1196.126591111111
24,LOCALSEARCH-HC,4242.498968888889,1164.901488888889
24,LOCALSEARCH-LB,4242.498968888889,1163.8182000000002
26,GREEDY,4482.329261363636,962.6803772727272
26,LOCALSEARCH-BFSOPT,4175.035706818182,1064.9357409090908
26,LOCALSEARCH-HC,4175.035706818182,1048.6883295454545
26,LOCALSEARCH-LB,4175.035706818182,1047.6656431818183
28,GREEDY,4426.2247355555555,884.5381666666666
28,LOCALSEARCH-BFSOPT,4143.582082222222,967.0840222222223
28,LOCALSEARCH-HC,4143.582082222222,958.4950933333332
28,LOCALSEARCH-LB,4143.582082222222,958.1896977777777
30,GREEDY,4358.168262222222,817.7761888888889
30,LOCALSEARCH-BFSOPT,4086.3626533333336,907.1541688888889
30,LOCALSEARCH-HC,4086.3626533333336,885.7442155555556
30,LOCALSEARCH-LB,4086.3626533333336,884.8775844444444
