ndrones,algorithm,completion_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time
2,GREEDY,19235.83601,17004.53613,426.5217391,200,0
2,LOCALSEARCH-BFSOPT,18181.43868,17191.96491,429.1304348,211.7391304,2.681984783
2,LOCALSEARCH-HC,18237.8448,17220.69941,429.7826087,207.826087,2.681984783
2,LOCALSEARCH-LB,18213.63096,17219.63303,428.4782609,209.5652174,2.681984783
4,GREEDY,10485.74461,7869.421963,180,100,0
4,LOCALSEARCH-BFSOPT,9078.517576,8280.436255,183.9473684,110.7894737,15.97873947
4,LOCALSEARCH-HC,9183.531884,8257.049205,182.3684211,106.3157895,5.062955263
4,LOCALSEARCH-LB,9063.180274,8247.180263,183.1578947,109.2105263,10.12459737
6,GREEDY,7853.032903,5133.394992,102.5641026,66.6667,0
6,LOCALSEARCH-BFSOPT,6595.510133,5580.918451,107.6923077,79.31624103,41.10978205
6,LOCALSEARCH-HC,6637.142621,5522.698092,106.9230769,73.16238974,27.70219744
6,LOCALSEARCH-LB,6552.23529,5505.35561,105.6410256,73.84615385,26.45918205
8,GREEDY,6576.151272,3802.127759,67.5,50,0
8,LOCALSEARCH-BFSOPT,5477.770955,4147.873852,67.75862069,58.27586207,62.92206552
8,LOCALSEARCH-HC,5515.449355,4136.422938,69.05172414,54.31034483,34.3381069
8,LOCALSEARCH-LB,5431.373652,4126.398228,69.05172414,55.34482759,36.70584828
10,GREEDY,5831.877116,2924.514216,48.38709677,40,0
10,LOCALSEARCH-BFSOPT,4936.115519,3326.817352,43.16129032,50.32258065,182.0512065
10,LOCALSEARCH-HC,5043.610697,3234.935429,44.90322581,45.41935484,106.8665645
10,LOCALSEARCH-LB,4892.752223,3253.396742,44.12903226,46.06451613,116.4312355
12,GREEDY,5320.987213,2381.092967,37.17948718,33.3333,0
12,LOCALSEARCH-BFSOPT,4701.716849,2717.223231,31.79487179,40.68376154,143.9174974
12,LOCALSEARCH-HC,4703.051577,2620.176538,32.05128205,38.54700513,128.2139
12,LOCALSEARCH-LB,4693.332323,2626.002026,31.92307692,38.46153333,121.3124744
14,GREEDY,5121.903902,1968.318557,31.32652857,28.5714,0
14,LOCALSEARCH-BFSOPT,4483.559624,2206.150267,25.00000476,34.76190238,166.6785524
14,LOCALSEARCH-HC,4493.195343,2158.247562,26.73469286,33.46939048,145.5999548
14,LOCALSEARCH-LB,4484.439071,2148.356869,26.93877143,33.19727857,127.2119429
16,GREEDY,5019.38027,1671.796525,27.44318182,25,0
16,LOCALSEARCH-BFSOPT,4401.437973,1918.097514,21.98863636,30.51136364,121.1035773
16,LOCALSEARCH-HC,4441.488925,1846.962327,23.09659091,29.88636364,126.523
16,LOCALSEARCH-LB,4403.3973,1848.912041,23.4375,29.54545455,111.9460455
18,GREEDY,4824.833831,1445.882693,23.99999778,22.2222,0
18,LOCALSEARCH-BFSOPT,4412.045982,1635.835011,18.81482889,26.91357778,123.1491844
18,LOCALSEARCH-HC,4419.588771,1607.34104,19.62964,26.41974889,117.5047822
18,LOCALSEARCH-LB,4416.505296,1605.91558,19.85186222,26.32098222,115.0043844
20,GREEDY,4714.012376,1281.720369,21.93333333,20,0
20,LOCALSEARCH-BFSOPT,4357.225653,1452.206087,16.86666667,24.17777778,112.7343044
20,LOCALSEARCH-HC,4357.650044,1420.740878,17.86666667,23.86666667,105.6991578
20,LOCALSEARCH-LB,4357.650044,1420.65804,17.8,23.82222222,105.6991578
22,GREEDY,4706.704821,1155.201966,19.84525957,18.1818,0
22,LOCALSEARCH-BFSOPT,4341.453166,1289.667247,15.43519362,21.74081489,108.3595702
22,LOCALSEARCH-HC,4341.859498,1268.987491,16.13152553,21.3539617,91.38023617
22,LOCALSEARCH-LB,4341.859498,1268.987491,16.13152553,21.3539617,91.38023617
24,GREEDY,4610.644631,1030.996076,17.77777778,16.6667,0
24,LOCALSEARCH-BFSOPT,4242.498969,1162.459922,13.55555556,20.11111556,89.77660667
24,LOCALSEARCH-HC,4242.498969,1130.790378,14.22222222,19.88889111,89.74874889
24,LOCALSEARCH-LB,4242.498969,1129.707089,14.22222222,19.88889111,89.74874889
26,GREEDY,4482.329261,931.2992636,15.99650455,15.3846,0
26,LOCALSEARCH-BFSOPT,4175.035707,1034.201473,12.48252727,18.25174773,82.45839091
26,LOCALSEARCH-HC,4175.035707,1017.604416,12.90210455,18.18181591,74.999125
26,LOCALSEARCH-LB,4175.035707,1016.581732,12.90210455,18.18181591,74.999125
28,GREEDY,4426.224736,855.6334,14.61903778,14.2857,0
28,LOCALSEARCH-BFSOPT,4143.582082,938.6554533,11.47618667,16.95238444,70.19636889
28,LOCALSEARCH-HC,4143.582082,929.7966889,11.71428444,16.98413556,71.64843111
28,LOCALSEARCH-LB,4143.582082,929.6024044,11.66666667,16.92064222,71.51576444
30,GREEDY,4358.168262,790.9317444,13.51111111,13.3333,0
30,LOCALSEARCH-BFSOPT,4086.362653,881.0356511,10.35555556,15.76296222,57.86499333
30,LOCALSEARCH-HC,4086.362653,859.2405089,10.71111111,15.79259111,64.27912222
30,LOCALSEARCH-LB,4086.362653,858.3738756,10.71111111,15.79259111,64.27912222
