nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time
5,2,2,9,MILP-primal,1511.4286,1511.4286,1431.4286,0.0,80.0,0.0, 1511.4286,10020.0,0.8723,0.0,1511.4286,1.0,2,1.0,28.274832725524902
5,2,2,9,GREEDY,1531.4286,1500.7143,1430.7143,30.0,40.0,0.0, 1500.7143,10015.0,0.8721,0.5,1500.7143,0.9799,0,0.0,0.0040929317474365234
5,2,2,9,LOCALSEARCH-LB,1511.4286,1511.4286,1431.4286,0.0,80.0,0.0, 1511.4286,10020.0,0.8723,0.0,1511.4286,1.0,2,1.0,0.008111000061035156
5,2,2,9,LOCALSEARCH-HC,1511.4286,1511.4286,1431.4286,0.0,80.0,0.0, 1511.4286,10020.0,0.8723,0.0,1511.4286,1.0,2,1.0,0.008191823959350586
5,2,2,9,LOCALSEARCH-BFSOPT,1511.4286,1511.4286,1431.4286,0.0,80.0,0.0, 1511.4286,10020.0,0.8723,0.0,1511.4286,1.0,2,1.0,0.008085489273071289
5,2,3,10,MILP-primal,1511.4286,1511.4286,1430.9524,0.0,40.0,40.4762, 1511.4286,10016.6667,0.6254,0.0,1470.9524,0.9732,1,0.5,810.025589466095
5,2,3,10,GREEDY,1531.4286,1000.4762,953.8095,20.0,26.6667,0.0, 1500.7143,6676.6667,0.5814,0.3333,1000.4762,0.6533,0,0.0,0.005798816680908203
5,2,3,10,LOCALSEARCH-LB,1511.4286,1007.619,954.2857,0.0,53.3333,0.0, 1511.4286,6680.0,0.5815,0.0,1007.619,0.6667,2,1.0,0.01444697380065918
5,2,3,10,LOCALSEARCH-HC,1511.4286,1007.619,954.2857,0.0,53.3333,0.0, 1511.4286,6680.0,0.5815,0.0,1007.619,0.6667,2,1.0,0.021857023239135742
5,2,3,10,LOCALSEARCH-BFSOPT,1511.4286,1245.7143,1192.381,0.0,40.0,13.3333, 1490.7143,8346.6667,0.6034,0.0,1232.381,0.8154,1,0.5,0.014929771423339844
5,3,3,11,MILP-primal,1531.4286,1531.4286,1430.9524,40.0,40.0,20.4762, 1531.4286,10016.6667,1.1189,0.6667,1510.9524,0.9866,0,0.0,1417.9496760368347
5,3,3,11,GREEDY,1531.4286,1510.9524,1430.9524,40.0,40.0,0.0, 1510.9524,10016.6667,1.1189,0.6667,1510.9524,0.9866,0,0.0,0.012369871139526367
5,3,3,11,LOCALSEARCH-LB,1531.4286,1510.9524,1430.9524,40.0,40.0,0.0, 1510.9524,10016.6667,1.1189,0.6667,1510.9524,0.9866,0,0.0,0.016509532928466797
5,3,3,11,LOCALSEARCH-HC,1531.4286,1510.9524,1430.9524,40.0,40.0,0.0, 1510.9524,10016.6667,1.1189,0.6667,1510.9524,0.9866,0,0.0,0.016622066497802734
5,3,3,11,LOCALSEARCH-BFSOPT,1531.4286,1510.9524,1430.9524,40.0,40.0,0.0, 1510.9524,10016.6667,1.1189,0.6667,1510.9524,0.9866,0,0.0,0.017377614974975586
5,3,4,12,MILP-primal,1511.4286,1376.1096,1326.1096,0.0,40.0,10.0, 1344.3366,9282.767,0.7757,0.0,1366.1096,0.9039,1,0.3333,37857.30968976021
5,3,4,12,GREEDY,1531.4286,1013.2524,968.2524,15.0,30.0,-0.0, 1351.0032,6777.767,0.7426,0.25,1013.2524,0.6616,0,0.0,0.015465021133422852
5,3,4,12,LOCALSEARCH-LB,1511.4286,1197.181,1147.181,0.0,40.0,10.0, 1344.3366,8030.267,0.7592,0.0,1187.181,0.7855,1,0.3333,0.022929906845092773
5,3,4,12,LOCALSEARCH-HC,1511.4286,1197.181,1147.181,0.0,40.0,10.0, 1344.3366,8030.267,0.7592,0.0,1187.181,0.7855,1,0.3333,0.022627830505371094
5,3,4,12,LOCALSEARCH-BFSOPT,1511.4286,1197.181,1147.181,0.0,40.0,10.0, 1344.3366,8030.267,0.7592,0.0,1187.181,0.7855,1,0.3333,0.022606372833251953
6,3,4,13,MILP-primal,1511.4286,1497.8391,1429.6338,0.0,60.0,8.2053, 1509.0356,10007.4369,0.8703,0.0,1489.6338,0.9856,3,1.0,45668.23716878891
6,3,4,13,GREEDY,1531.4286,1131.4196,1071.4196,30.0,30.0,0.0, 1508.5594,7499.9369,0.8372,0.5,1131.4196,0.7388,0,0.0,0.020360946655273438
6,3,4,13,LOCALSEARCH-LB,1511.4286,1318.9105,1250.7053,0.0,60.0,8.2053, 1509.0356,8754.9369,0.8538,0.0,1310.7053,0.8672,3,1.0,0.056055545806884766
6,3,4,13,LOCALSEARCH-HC,1511.4286,1318.9105,1250.7053,0.0,60.0,8.2053, 1509.0356,8754.9369,0.8538,0.0,1310.7053,0.8672,3,1.0,0.047437429428100586
6,3,4,13,LOCALSEARCH-BFSOPT,1511.4286,1318.9105,1250.7053,0.0,60.0,8.2053, 1509.0356,8754.9369,0.8538,0.0,1310.7053,0.8672,3,1.0,0.05495166778564453
